error_hybrid_syn,error_hybrid_phys,error_phys
0.034906384,0.00013070408,0.00013070408
0.03479648,0.00012988936,0.00012946044
0.034635644,0.00012854194,0.00012790403
0.034415536,0.00012645368,0.00012548274
0.03417359,0.0001236323,0.00012191731
0.034001872,0.000121210396,0.00011723935
0.034098875,0.000118794684,0.000111748865
0.034597587,0.000117667456,0.000105950785
0.035807557,0.00011749827,0.00010048061
0.037859775,0.000116660915,9.597005e-05
0.040615086,0.00011538977,9.275946e-05
0.04405631,0.00011458796,9.035443e-05
0.048207667,0.00010779884,8.678743e-05
0.052206088,9.374713e-05,8.1178965e-05
0.05513801,9.150129e-05,9.110098e-05
0.057231106,0.00016281073,0.00017308262
0.058362305,0.00037349304,0.00038823197
0.05864461,0.00072702003,0.00074094156
0.057309587,0.0011626286,0.0011732533
0.054907154,0.0016418498,0.0016483857
0.051784333,0.0022070846,0.0022089495
0.048443045,0.0028944565,0.0028928681
0.045098256,0.0036755535,0.0036684165
0.041821487,0.0044645295,0.004451622
0.038763665,0.005167633,0.005151232
0.03604499,0.0054620146,0.0054301433
0.033605736,0.0061308807,0.006117095
0.03147152,0.006408211,0.0063963193
0.029659899,0.0065786666,0.0065692565
0.028132794,0.0066728396,0.0066661914
0.02687281,0.0067148632,0.006711022
0.025800094,0.0067227944,0.0067216507
0.024920797,0.006709611,0.0067109745
0.024176616,0.006684387,0.006688011
0.023580521,0.006653287,0.006658916
0.023139149,0.0066203834,0.0066277585
0.022780614,0.0065882616,0.006597141
0.022498313,0.006558493,0.0065686484
0.022288177,0.0065319417,0.0065431683
0.022123408,0.006508998,0.0065211128
0.022000903,0.0064897374,0.0065025757
0.021914124,0.0064740377,0.0064874515
0.02185295,0.0064616436,0.006475501
0.021811536,0.0064522075,0.006466402
0.021785675,0.0064453464,0.006459787
0.02176822,0.0064406474,0.0064552547
0.021758758,0.0064376947,0.0064524077
0.021754855,0.0064360695,0.006450838
0.021753987,0.0064353626,0.006450156
0.021753984,0.0064351917,0.0064499914
